<http://www.yso.fi/onto/yso/p2787>	kirjastot
<http://www.yso.fi/onto/yso/p8512>	fantasia
<http://www.yso.fi/onto/yso/p1148>	sarjakuvat
<http://www.yso.fi/onto/yso/p2765>	lajit
<http://www.yso.fi/onto/yso/p1664>	runot
<http://www.yso.fi/onto/yso/p2128>	kertomakirjallisuus
<http://www.yso.fi/onto/yso/p17134>	genret
<http://www.yso.fi/onto/yso/p11411>	vitsit
<http://www.yso.fi/onto/yso/p156>	kirjat
<http://www.yso.fi/onto/yso/p1365>	lyriikka
<http://www.yso.fi/onto/yso/p4440>	kauhu
<http://www.yso.fi/onto/yso/p965>	urheilu
<http://www.yso.fi/onto/yso/p3403>	aiheet
<http://www.yso.fi/onto/yso/p17229>	n채ytelm채kirjallisuus
<http://www.yso.fi/onto/yso/p12202>	tietokirjallisuus
<http://www.yso.fi/onto/yso/p15527>	tieteiskirjallisuus
<http://www.yso.fi/onto/yso/p11808>	kuvakirjat
<http://www.yso.fi/onto/yso/p15564>	sadut
<http://www.yso.fi/onto/yso/p5000>	n채ytelm채t
<http://www.yso.fi/onto/yso/p4>	kaunokirjallisuus
<http://www.yso.fi/onto/yso/p4742>	lastenkirjallisuus
<http://www.yso.fi/onto/yso/p8416>	sarjakirjat
<http://www.yso.fi/onto/yso/p4354>	lapset
